UPC,Item Name,Department,Remaining,Sales Price
076950450189,throat comfort tea OG 16 bags yogi caffeine free,Beverage,9,$5.39
854560005605,cappuccino creamy 8oz can,Beverage,3,$2.79
076950450424,green tea 16 bags yogi,Beverage,11,$5.39
819005010194,elderberry buddha 18 tea bags buddha tea,Beverage,2,$7.99
830568000095,yerba mate dark roast loose tea 12oz mate factor,Beverage,4,$11.69
628240251848,turmeric ginger tea OG 24bags,Beverage,2,$7.99
819005010354,milk thistle tea OG 18bags buddha tea,Beverage,5,$6.99
819005010361,nettle leaf tea OG 18bags buddha tea,Beverage,6,$6.99
074682200294,beet juice blend OG 32oz knudsen,Beverage,5,$9.99
077652082463,wild raspberry hibiscus tea 20 bags,Beverage,6,$4.99
076950206984,sweet clementine stress support 16 bags yogi caffeine free,Beverage,4,$5.39
076950450431,woman's raspberry leaf tea 16 bags yogi caffeine free,Beverage,6,$5.39
076950206991,blackberry apple cider digestive awakening 16 bags yogi caffeine free,Beverage,11,$5.39
860492001554,elderberry syrup cheeky cherry 15.5 oz  health junkie,Beverage,10,$22.99
032917000675,healthy cycle raspberry leaf tea traditional medicinals,Beverage,5,$6.99
632432728773,yerba mate orange exuberance can 15.5oz guayaki,Beverage,19,$3.39
632432717777,yerba mate lemon elation can 15.5oz guayaki,Beverage,18,$3.39
858276004006,water boxed is better 16.9 oz,Beverage,24,$1.79
819005010286,hibiscus tea 18 bags buddha tea,Beverage,5,$6.99
819005010330,licorice root tea buddha 18bags buddha tea,Beverage,3,$6.99
819005010088,passionflower tea 18bags buddha tea,Beverage,3,$6.99
819005010439,sarsparilla root tea 18bags buddha tea,Beverage,2,$6.99
076950202955,soothing rose hibiscus skin detox tea 16 bags yogi,Beverage,7,$5.39
076950207073,pumpkin spice tea OG 16 bags yogi caffeine free,Beverage,6,$5.39
076950207035,orange clove tea OG 16 bags yogi caffeine free,Beverage,5,$5.39
076950207066,vanilla peppermint tea OG 16 bags yogi caffeine free,Beverage,16,$5.39
4897039310325,reishi calm cacao mix single pkt,Beverage,14,$1.89
816897021048,mushroom matcha lion's mane latte think single pkt,Beverage,1,$1.79
4897039310714,lions mane chaga coffee single pkt,Beverage,12,$1.49
4897039310707,mushroom coffee gut health single pkt,Beverage,40,$1.49
077652084276,Christmas in Paris 18bags,Beverage,4,$4.99
856516002119,chia squeeze green magic 3.5oz,Beverage,18,$2.19
816897021482,mushroom coffee lion's mane latte single pkt four sigmatic,Beverage,11,$1.89
097467045743,spirutein strawberry 2.4 lbs nature's plus,Beverage,1,$48.99
024182181371,sencha rose tea OG 16ct,Beverage,21,$6.39
042608470717,beet juice pure OG 32oz Lakewood,Beverage,3,$9.39
722430920160,kombucha sacred life 16oz gt's,Beverage,8,$4.99
047445919528,genmaicha tea OG 16 bags Choice,Beverage,7,$4.85
047445919436,rooibos tea OG 16 bags Choice,Beverage,4,$4.85
047445919917,earl grey decaf tea OG 16 bags Choice,Beverage,6,$4.85
819005010477,turmeric ginger tea 18 bags buddha,Beverage,4,$6.99
819005015281,CBD tulsi ashwagandha tea 18 bags buddha tea,Beverage,2,$19.99
819005015274,CBD mushroom defense tea 18 bags buddha tea,Beverage,4,$19.99
819005011627,chai tea 18 bags buddha tea,Beverage,3,$7.99
076950450110,ginger tea 16 bags caffeine free yogi,Beverage,2,$5.39
036192122220,limeade OG 32oz Santa Cruz,Beverage,8,$3.69
628240201287,echinacea blend tea OG celebration,Beverage,1,$7.19
008274006650,ginger ale real sleek single 12oz can reed's,Beverage,4,$1.79
008274006667,ginger ale real sleek zero single 12oz can reed's,Beverage,20,$1.79
076950208162,elderberry lemon balm immune 16bags yogi no caffeine,Beverage,2,$5.39
655160916502,elderberry blueberry syrup local 12oz sage village,Beverage,2,$21.99
816897021994,protein plant powder cacao single packet four sigmatic,Beverage,2,$2.99
076950450042,breathe deep16 bags yogi,Beverage,15,$5.39
628240201263,dandelion root raw tea OG 24bags celebration,Beverage,6,$8.59
628240251282,dandelion root roasted tea  OG 24bags celebration,Beverage,1,$8.99
873024002011,Ener-C lemon lime pkt single,Beverage,6,$0.49
039278800203,korean ginseng tea small box 10 bags,Beverage,1,$2.49
816897020812,mushroom chai latte calm pkt,Beverage,18,$1.89
322654002194,collagen hydrolysate  pkt great lakes collagen co,Beverage,11,$1.99
801541517510,tulsi tea focus pomegranate orange 18 bags organic india,Beverage,1,$3.50
857161008464,kombucha island mango 14oz brew dr,Beverage,7,$3.99
819215020099,sparkling water peach can waterloo,Beverage,6,$0.59
722430160078,kombucha alive matcha vanilla 16oz Gt's,Beverage,5,$4.69
026395840168,aloe vera whole leaf juice pf 16oz glass,Beverage,2,$6.99
4897039310202,mushroom elixir lion's mane think rhodiola mix single pkt,Beverage,56,$1.79
856516002096,chia squeeze blackberry bliss 3.5oz,Beverage,15,$2.19
851220003414,cold brew concentrate 32oz,Beverage,5,$11.99
076950207141,sweet ginger citrus turmeric vitality tea yogi,Beverage,3,$5.39
076950450226,relaxed mind OG 16 bags yogi caffeine free,Beverage,7,$5.39
855533005639,dandelion herbal tea OG 20 bags bravo,Beverage,6,$6.99
855533005295,honeysuckle herbal tea OG 20 bags bravo,Beverage,5,$6.99
855533005684,red clover herbal tea OG 20 bags bravo,Beverage,1,$5.99
855533005677,milk thislte herbal tea 20 bags bravo,Beverage,1,$6.99
855533005301,chrysanthemum herbal tea 20 bags bravo,Beverage,5,$5.99
795239801107,teeccino french roast 11oz,Beverage,3,$13.99
608883000065,water alkaline 84.5 oz eternal,Beverage,7,$4.59
856516002294,chia squeeze wild raspberry 3.5oz,Beverage,23,$2.19
074682107272,tomato juice OG 32oz knudsen,Beverage,4,$6.29
850628002548,protein OG bourbon vanilla whey 12 oz tera's,Beverage,1,$32.99
855533005172,triple stress relief herbal tea OG 20 bags bravo,Beverage,5,$6.99
039278703306,ginkgo biloba & red panax ginseng 10x30,Beverage,4,$17.99
855842004378,birch beer soda bottle 12oz rocky mountain,Beverage,22,$2.19
819005015526,CBD cacao fusion tea buddha tea,Beverage,2,$10.70
857161008778,kombucha orange oasis 14oz brew dr,Beverage,12,$3.99
819005015533,CBD sleepy buddha tea buddha tea,Beverage,1,$19.99
810029090001,kombucha jun raspberry rose OG 12oz glass wild tonic,Beverage,12,$5.99
858148003878,protein strawberry creme 12oz rebbl,Beverage,3,$5.99
855533005110,healthy eyes herbal tea 20 bags bravo,Beverage,3,$5.99
855533005370,hair regrowth herbal tea 20 bags bravo,Beverage,1,$6.99
855533005141,clear and smooth skin herbal tea 20 bags bravo,Beverage,4,$5.99
4897039310387,mushroom elixir chaga protect mix single pkt,Beverage,13,$1.79
819005010408,red clover tea 18bags buddha tea,Beverage,3,$6.49
819005011856,meditation moment tea 18bags buddha tea,Beverage,4,$6.99
097467996601,collagen peptides pkt single,Beverage,28,$1.89
097467459618,collagen peptides .65 lb nature's plus,Beverage,3,$27.99
855533005189,aller easy tea bravo,Beverage,5,$6.99
855533005059,triple detox tea bravo,Beverage,5,$6.99
322654003351,collagen peptides daily beauty 8oz great lakes collagen co,Beverage,2,$28.99
819005015540,echinacea elderberry tea 18 bags buddha tea,Beverage,1,$6.99
036192122466,lemonade strawberry OG 32oz Santa Cruz,Beverage,11,$3.99
856516005004,chia squeeze cherry love 3.5oz,Beverage,10,$2.19
815369010757,soda blood orange italian OG,Beverage,8,$5.19
815369014564,coconut water OG 1 liter cadia,Beverage,11,$6.19
819005014505,cranberry comfort tea OG 18bags,Beverage,2,$6.99
032917003232,reishi rooibos orange 16 tea bags traditional medicinals,Beverage,5,$6.69
850025765244,energy drink blackberry lemon odyssey,Beverage,6,$3.99
322654002835,collagen peptides daily wellness chocolate 8oz great lakes collagen co,Beverage,3,$28.99
819005010293,holy basil tea 18 bags Buddha tea,Beverage,4,$6.99
322654002576,collagen peptides daily wellness vanilla 10 oz great lakes collagen co,Beverage,1,$28.99
813026020156,chamomile vanilla tea 20bags,Beverage,4,$6.59
858045004923,macadamia milk barista unsweetened 32oz Milkadamia,Beverage,3,$4.80
860003192832,coffee double shot w/milk rtd 11oz,Beverage,1,$3.79
076950208780,bright day peach bergamot tea 16 bags yogi caffeine free,Beverage,4,$5.39
819162004548,yerba mate loose tea OG 16oz eco teas,Beverage,1,$18.99
741391979277,matcha powder tea rishi 1.050z,Beverage,2,$13.99
860004213321,kava blackberry yuzu rtd can psychedelic water,Beverage,19,$3.89
322654002408,collagen hydrolysate 10oz great lakes collagen co,Beverage,3,$28.99
856516002287,chia squeeze mango coconut 3.5oz mamma chia,Beverage,13,$2.19
810029090018,kombucha jun blueberry basil 12oz,Beverage,11,$5.99
039278040371,ginger honey lemon crystals 10 sachets prince of peace,Beverage,5,$4.49
816897022342,protein plant powder vanilla 21.6oz four sigmatic,Beverage,1,$38.99
733739058348,oat milk powder OG 12oz,Beverage,1,$9.99
632432000176,yerba mate peach revival can 15.5oz guayaki,Beverage,11,$3.39
819215022055,sparkling water orange vanilla single can waterloo,Beverage,8,$0.89
850036042099,kombucha raspberry lemonade zero can humm,Beverage,2,$3.39
814784024240,warrior blend chocolate 375gm sunwarrior,Beverage,1,$15.00
819005010156,damiana leaf tea 18bags buddha tea,Beverage,2,$8.49
032917002198,nighty night valerian OG 16 tea bags traditional medicinals,Beverage,3,$6.99
5060557310095,hibiscus rose soda can something & nothing,Beverage,7,$3.49
076950209084,cinnamon horchata stress tea OG 16 bags yogi caffeine free,Beverage,4,$5.39
076950209060,blueberry sage stress tea OG 16 bags yogi caffeine free,Beverage,11,$5.39
195372731048,tea morrocan mint rtd just ice ta,Beverage,9,$3.29
722430160221,kombucha alive lemon lime 16oz Gt's,Beverage,11,$4.69
722430740164,kombucha elderberry juniper 16oz gt's,Beverage,7,$4.69
5060557310002,cucumber soda can something & nothing,Beverage,11,$3.49
097467591158,spirutein shaker nature's plus,Beverage,2,$4.99
860006268008,tea cherry sweet RTD leelanau,Beverage,7,$3.49
815369010740,soda pomegrante italian OG 25.4oz cadia,Beverage,2,$5.19
815369010764,soda lemon italian OG 25.4oz cadia,Beverage,4,$5.19
657622011855,apple juice box kids OG 8-pack honest tea,Beverage,3,$6.49
657622011848,fruit punch juice box kids OG 8-pack honest tea,Beverage,3,$6.49
857161008914,kombucha  strawberry brew dr,Beverage,13,$3.99
811660022857,electrolyte energy caffeine tropical punch drink tabs nuun bb 3/24,Beverage,1,$2.00
722430160207,kombucha alive cola 16oz gt's,Beverage,6,$4.69
,apple  juice box kids single honest,Beverage,4,$0.99
855533005752,mushroom defense herbal tea 20 bags bravo,Beverage,2,$8.49
850025765633,lion's mane sparkling blue raspberry RTD can  odyssey,Beverage,5,$3.99
849429003274,zero calorie creamy root beer soda can zevia,Beverage,12,$1.49
322654003368,collagen peptides caramel joint 8oz great lakes collagen,Beverage,2,$21.99
322654002897,collagen chai 10oz great lakes collagen co,Beverage,2,$28.99
850004695036,CBD sparkling water blood orange wyld,Beverage,3,$4.69
733739059680,psyllium husk whole OG 12oz NOW FOODS,Beverage,3,$17.99
860009578203,palo azul blue tea 15bags magiktea,Beverage,1,$11.99
032917007322,cold care PM 16 tea bags traditional medicinals,Beverage,4,$6.99
851770003094,kid protein vanilla 4-pk orgain,Beverage,4,$8.60
819005015861,CBD hibiscus blend tea buddha tea,Beverage,3,$19.99
733739042675,rooibos reishi tea 24 bags NOW FOODS,Beverage,7,$5.99
850020883011,hop water mango single hop wtr,Beverage,15,$1.99
722430790169,kombucha honeycrisp apple 16oz gts,Beverage,9,$4.69
632432000350,yerba mate berry lemonade can 15.5oz guayaki,Beverage,19,$3.39
814784024264,warrior mocha 375gm sunwarrior,Beverage,1,$15.00
814784027524,collagen beauty greens pina colada 10.6oz  sunwarrior,Beverage,1,$39.99
039278701234,red panax ginseng ultra strength 10x30,Beverage,4,$17.99
860008539045,mango power juice OG 11.1oz,Beverage,4,$5.99
819215022727,sparkling water raspberry nectarine can waterloo,Beverage,23,$0.89
077652082449,meyer lemon blossom tea 20 bags stash,Beverage,3,$4.99
850026948332,CBD CBN sparkling water blueberry pom wyld,Beverage,17,$4.69
810070875459,coffee mocha latte RTD 11oz chamberlain,Beverage,6,$3.99
810070875466,coffee cinnamon bun latte RTD 11oz chamberlain,Beverage,9,$3.99
855533005691,chaga herbal tea OG 20 bags bravo,Beverage,6,$7.99
819005010644,ashwagandha 18 bags buddha tea,Beverage,2,$6.99
850004695012,CBD sparkling water lemon wyld,Beverage,7,$4.69
860003304129,kombucha sparkling mango gold can wildwonder,Beverage,6,$3.99
860003304105,kombucha sparkling guava rose can wildwonder,Beverage,3,$3.99
816897020607,balance mushroom coffee mix single pkt,Beverage,10,$1.59
850017346017,prebiotic soda lemon ginger can culture pop,Beverage,13,$2.39
850017346000,prebiotic soda orange mango can culture pop,Beverage,12,$2.39
849429002994,zero calorie cran raspberry soda can zevia,Beverage,9,$1.49
860006882822,watermelon juice OG 11.1oz allwello,Beverage,7,$5.99
628240251732,honeybush tea OG celebration,Beverage,3,$10.49
628240201461,hibiscus twist tea OG celebration,Beverage,6,$7.19
628240201683,parsley leaf tea OG celebration,Beverage,4,$7.69
628240251862,thyme leaf tea OG celebration,Beverage,4,$10.49
628240201935,wild cherry bark tea OG celebration,Beverage,1,$7.19
628240204165,white and green tea OG celebration,Beverage,2,$7.99
628240201669,papaya leaf tea OG celebration,Beverage,5,$6.69
628240201614,marshmallow leaf and root tea  OG 24bags celebration,Beverage,5,$7.49
628240201539,hyssop tea OG celebration,Beverage,3,$8.99
628240201409,ginger peppermint tea OG celebration,Beverage,5,$9.99
628240251152,calendula tea OG celebration,Beverage,5,$8.79
628240201249,damiana leaf tea OG 24bags celebration,Beverage,4,$7.49
076950209343,sweet strawberry digestive tea 16 bags yogi caffeine free,Beverage,8,$5.39
076950400016,chai latte classic OG 32oz yogi,Beverage,6,$7.49
073490158513,lemon ginger juice OG 8.45 oz,Beverage,6,$4.79
855754007252,kombucha infused sparkling water meyer lemon can,Beverage,11,$2.29
076950400047,matcha latte OG 32oz yogi,Beverage,2,$7.49
076950209046,mandarin mint mindfulness16 bags yogi,Beverage,4,$5.39
039278701210,red panax ginseng ultra strength 10x10,Beverage,3,$7.99
850049586245,honey ginger instant crystal tea 40pouches box,Beverage,8,$11.59
819005015427,mushroom wellness blend 18 bags buddha tea,Beverage,2,$9.99
797132923993,honey ginger soda can wehrloom,Beverage,4,$2.99
797132923726,honey cream soda can wehrloom,Beverage,5,$2.99
810117200169,kombucha mixed berry no sugar single can,Beverage,9,$2.99
850039752087,kava orange vanilla rtd can psychedelic water,Beverage,20,$3.89
863323000351,hydration berry acai pkt single liquid iv,Beverage,10,$1.99
850017346031,prebiotic soda wildberries can culture pop,Beverage,6,$2.39
850038717179,oat milk OG 32 oz mooala,Beverage,3,$5.59
627733020107,supergreens pear 3.5oz,Beverage,3,$14.99
627733001328,turmeric latte mix 3.5oz,Beverage,3,$15.99
627733009690,daily cranberry probiotics mix 8oz,Beverage,1,$14.90
819005010668,mullein tea 18 bags Buddha tea,Beverage,4,$7.99
855395007147,banana milk OG 32 oz mooala,Beverage,7,$5.49
863606000252,soursop juice with pulp 16.57oz,Beverage,13,$4.49
797132923764,honey root beer soda can wehrloom,Beverage,6,$2.99
797132924655,honey infused tea apples cinnamon in a jar wehrloom,Beverage,3,$12.99
795239420803,teeccino Irish cream 10bags,Beverage,6,$6.99
628240201133,burdock tea OG celebration,Beverage,3,$7.19
733739066718,hot cocoa mix OG 14oz NOW FOODS,Beverage,1,$11.99
812475018370,pineapple juice with pulp 10.8oz alo,Beverage,12,$2.69
812475018356,mango juice with pulp 10.8oz alo,Beverage,10,$2.69
812475018578,peach juice with pulp 10.8oz alo,Beverage,5,$2.69
196852151646,switchel water OG can ancient drinks,Beverage,10,$2.99
628240204707,chai double tea celebration,Beverage,3,$8.49
628240205018,C blend tea celebration,Beverage,2,$9.99
797132924631,honey infused tea jasmine rose in a jar wehrloom,Beverage,2,$12.99
810063711078,prebiotic soda wild berry pop can poppi,Beverage,3,$2.99
812475018394,lychee juice with pulp 10.8oz alo,Beverage,8,$2.69
810100920203,core cleanser digest strawberry 375gm sunwarrior,Beverage,2,$19.00
854105007200,energy drink ginger berry can sunshine,Beverage,4,$3.49
854105007248,energy drink blueberry lemonade can sunshine,Beverage,11,$3.49
854105007231,energy drink clementine twist can sunshine,Beverage,1,$3.49
196110003281,turmeric citrus medley drink mix single pkt,Beverage,1,$1.99
,mushroom chaga protect mix single pkt,Beverage,10,$1.69
036192000276,cranberry grape juice 32oz,Beverage,3,$7.59
854936003884,lymph support tea bio nutrition,Beverage,1,$13.99
860009687592,pineapple extract cleansing tea bio nutrition,Beverage,3,$8.99
819005010392,raspberry leaf tea OG 18bags,Beverage,2,$7.99
790223100181,papaya puree OG 16oz,Beverage,2,$12.49
074682107302,very veggie low salt 32oz knudsen,Beverage,4,$5.99
074682000344,elderberry echinacea juice OG 32oz knudsen,Beverage,4,$11.49
036192000429,green tea pomegranate  OG 32oz Santa Cruz,Beverage,1,$3.99
039278040302,ginger honey crystals with ginseng,Beverage,2,$4.49
850026969443,complete nutrition meal shake vanilla single owyn,Beverage,7,$2.99
856461008747,complete nutrition meal shake chocolate single owyn,Beverage,23,$2.99
628240201171,chamomile tea celebration,Beverage,1,$6.69
855432003323,water still plus electrolytes tall girl open water single can,Beverage,10,$1.79
076950209596,cozy cardamom immune + sleep 16 bags yogi,Beverage,2,$5.39
